日期,備轉容量率(%),備轉容量(MW)
2017/08/14,5.06,1824
2017/08/15,3.17,1157
2017/08/16,4.46,1621
2017/08/17,4.34,1580
2017/08/18,4.19,1520
2017/08/19,7.7,2481
2017/08/20,8.62,2648
2017/08/21,5.18,1870
2017/08/22,6.33,2235
2017/08/24,4.13,1466
2017/08/25,5.57,1957
2017/08/26,6.9,2174
2017/08/27,9.29,2715
2017/08/28,5.29,1880
2017/08/29,3.9,1408
2017/08/30,5.59,1982
2017/08/31,7.11,2472
2017/09/01,11.19,3698
2017/09/02,11.94,3505
2017/09/03,9.19,2578
2017/09/04,5.92,2011
2017/09/05,5.15,1770
2017/09/06,3.33,1191
2017/09/07,6.28,2200
2017/09/08,6.46,2264
2017/09/09,6.98,2133
2017/09/10,6.02,1778
2017/09/11,6.59,2300
2017/09/12,5.02,1785
2017/09/13,9.24,3133
2017/09/14,10.02,3301
2017/09/15,5.07,1722
2017/09/16,6.36,1950
2017/09/17,8.85,2507
2017/09/18,8.94,2987
2017/09/19,5.49,1881
2017/09/20,5.48,1912
2017/09/21,4.33,1515
2017/09/22,3.63,1284
2017/09/23,4.2,1349
2017/09/24,4.98,1530
2017/09/25,3.49,1250
2017/09/26,3.92,1421
2017/09/27,3.61,1314
2017/09/28,3.13,1127
2017/09/29,5.39,1905
2017/09/30,4.52,1564
2017/10/01,5.8,1757
2017/10/02,4.2,1501
2017/10/03,4.73,1699
2017/10/04,9.97,2899
2017/10/05,5.84,2025
2017/10/06,3.91,1367
2017/10/07,8.33,2463
2017/10/08,9.63,2708
2017/10/09,5.41,1563
2017/10/10,4.3,1301
2017/10/11,3.39,1195
2017/10/12,6.97,2370
2017/10/13,6.48,2091
2017/10/14,6.62,1906
2017/10/15,9.21,2520
2017/10/16,5.27,1742
2017/10/17,5.54,1812
2017/10/18,7.8,2517
2017/10/19,7.46,2333
2017/10/20,6.81,2103
2017/10/21,13.12,3393
2017/10/22,12.2,2956
2017/10/23,9.58,2746
2017/10/24,10.17,2967
2017/10/25,10.45,3056
2017/10/26,9.51,2785
2017/10/27,7.97,2296
2017/10/28,9.02,2306
2017/10/29,14.91,3608
2017/10/30,9.19,2593
2017/10/31,9.2,2625
2017/11/01,6.86,2008
2017/11/02,6.88,2073
2017/11/03,10.57,3092
2017/11/04,9.77,2502
2017/11/05,8.43,2077
2017/11/06,8.96,2655
2017/11/07,6.27,1923
2017/11/08,8.93,2665
2017/11/09,7.3,2208
2017/11/10,6.24,1908
2017/11/11,7.52,1988
2017/11/12,6.43,1619
2017/11/13,9.43,2796
2017/11/14,8.64,2589
2017/11/16,8.04,2449
2017/11/17,7.37,2251
2017/11/18,9.52,2494
2017/11/19,8.76,2158
2017/11/20,8.04,2313
2017/11/21,5.1,1501
2017/11/22,8.66,2507
2017/11/23,10.7,3045
2017/11/24,10.66,3018
2017/11/25,10.34,2654
2017/11/26,11.25,2788
2017/11/27,7.69,2225
2017/11/28,5.08,1509
2017/11/29,6.11,1805
2017/11/30,8.9,2597
2017/12/01,8.82,2516
2017/12/02,11.85,3037
2017/12/03,12.6,3088
2017/12/04,9.85,2784
2017/12/05,7.93,2240
2017/12/06,7.22,2054
2017/12/07,6.89,1973
2017/12/08,9.64,2685
2017/12/09,8.81,2248
2017/12/10,8.91,2160
2017/12/11,9.54,2643
2017/12/12,8.82,2518
2017/12/13,9.43,2681
2017/12/14,7.44,2124
2017/12/15,7.14,2029
2017/12/16,9.91,2529
2017/12/17,9.42,2303
2017/12/18,8.81,2485
2017/12/19,7.75,2221
2017/12/20,9.35,2626
2017/12/21,9.13,2576
2017/12/22,9.47,2628
2017/12/23,10.74,2706
2017/12/24,12.2,2959
2017/12/25,8.79,2455
2017/12/26,7.95,2262
2017/12/27,8.84,2478
2017/12/28,8.34,2354
2017/12/29,10.36,2835
2017/12/30,13.71,3389
2017/12/31,9.62,2244
