,date,peak_load
0,20170101,22886
1,20170102,24483
2,20170103,28131
3,20170104,28485
4,20170105,28336
5,20170106,28002
6,20170107,25600
7,20170108,24133
8,20170109,27670
9,20170110,27787
10,20170111,27992
11,20170112,28186
12,20170113,27161
13,20170114,24726
14,20170115,24156
15,20170116,27370
16,20170117,27768
17,20170118,27768
18,20170119,27768
19,20170120,26889
20,20170121,24905
21,20170122,24230
22,20170123,26943
23,20170124,26779
24,20170125,25905
25,20170126,23012
26,20170127,20214
27,20170128,19672
28,20170129,19906
29,20170130,20118
30,20170131,21188
31,20170201,22191
32,20170202,24722
33,20170203,25592
34,20170204,24355
35,20170205,23414
36,20170206,26414
37,20170207,26899
38,20170208,27120
39,20170209,27088
40,20170210,27086
41,20170211,24557
42,20170212,23991
43,20170213,26862
44,20170214,27193
45,20170215,27232
46,20170216,27174
47,20170217,27241
48,20170218,26165
49,20170219,23850
50,20170220,27718
51,20170221,27762
52,20170222,28295
53,20170223,27527
54,20170224,27141
55,20170225,24638
56,20170226,23343
57,20170227,24078
58,20170228,25022
59,20170301,27261
60,20170302,27074
61,20170303,26914
62,20170304,24746
63,20170305,23990
64,20170306,27068
65,20170307,27568
66,20170308,27767
67,20170309,27844
68,20170310,27892
69,20170311,25149
70,20170312,24368
71,20170313,27892
72,20170314,27769
73,20170315,27774
74,20170316,28098
75,20170317,27896
76,20170318,25239
77,20170319,24394
78,20170320,28453
79,20170321,28197
80,20170322,28095
81,20170323,28035
82,20170324,27872
83,20170325,24624
84,20170326,23892
85,20170327,27222
86,20170328,27766
87,20170329,28022
88,20170330,27974
89,20170331,28040
90,20170401,24245
91,20170402,22905
92,20170403,22797
93,20170404,23637
94,20170405,27722
95,20170406,28161
96,20170407,28739
97,20170408,26288
98,20170409,25592
99,20170410,30236
100,20170411,29416
101,20170412,28004
102,20170413,28171
103,20170414,28259
104,20170415,26171
105,20170416,25504
106,20170417,30290
107,20170418,30723
108,20170419,31072
109,20170420,30725
110,20170421,30988
111,20170422,24699
112,20170423,24088
113,20170424,28349
114,20170425,29158
115,20170426,30418
116,20170427,28348
117,20170428,27165
118,20170429,24747
119,20170430,24004
120,20170501,25611
121,20170502,29684
122,20170503,30931
123,20170504,31407
124,20170505,31854
125,20170506,27573
126,20170507,25867
127,20170508,31507
128,20170509,31569
129,20170510,32633
130,20170511,33011
131,20170512,32806
132,20170513,27824
133,20170514,26614
134,20170515,32336
135,20170516,30124
136,20170517,30141
137,20170518,31320
138,20170519,31080
139,20170520,26826
140,20170521,26159
141,20170522,32130
142,20170523,32720
143,20170524,33035
144,20170525,31042
145,20170526,30290
146,20170527,26347
147,20170528,25268
148,20170529,26189
149,20170530,26643
150,20170531,32677
151,20170601,31934
152,20170602,31745
153,20170603,30408
154,20170604,26587
155,20170605,31834
156,20170606,33099
157,20170607,34135
158,20170608,34011
159,20170609,33972
160,20170610,30970
161,20170611,29156
162,20170612,34589
163,20170613,34501
164,20170614,31925
165,20170615,30196
166,20170616,30978
167,20170617,27264
168,20170618,26316
169,20170619,30908
170,20170620,31901
171,20170621,33511
172,20170622,34515
173,20170623,34567
174,20170624,30919
175,20170625,29653
176,20170626,35139
177,20170627,35123
178,20170628,35300
179,20170629,35234
180,20170630,34894
181,20170701,30856
182,20170702,28576
183,20170703,35002
184,20170704,34889
185,20170705,34916
186,20170706,35280
187,20170707,34736
188,20170708,30418
189,20170709,29124
190,20170710,35022
191,20170711,35482
192,20170712,35444
193,20170713,35749
194,20170714,35548
195,20170715,31152
196,20170716,29259
197,20170717,34337
198,20170718,36107
199,20170719,36046
200,20170720,35973
201,20170721,36146
202,20170722,31441
203,20170723,30894
204,20170724,36148
205,20170725,36213
206,20170726,36199
207,20170727,35626
208,20170728,35658
209,20170729,30003
210,20170730,27986
211,20170731,30600
212,20170801,33080
213,20170802,33476
214,20170803,34556
