,date,peak_load
215,20170804,34717
216,20170805,31575
217,20170806,30675
218,20170807,36165
219,20170808,36266
220,20170809,36123
221,20170810,35788
222,20170811,36417
223,20170812,32480
224,20170813,30951
225,20170814,36052
226,20170815,36453
227,20170816,36390
228,20170817,36391
229,20170818,36295
230,20170819,32211
231,20170820,30715
232,20170821,36119
233,20170822,35285
234,20170823,34588
235,20170824,35493
236,20170825,35129
237,20170826,31487
238,20170827,29227
239,20170828,35541
240,20170829,36070
241,20170830,35447
242,20170831,34739
243,20170901,33050
244,20170902,29350
245,20170903,28063
246,20170904,33987
247,20170905,34360
248,20170906,35786
249,20170907,35014
250,20170908,35020
251,20170909,30543
252,20170910,29552
253,20170911,34904
254,20170912,35533
255,20170913,33922
256,20170914,32944
257,20170915,33981
258,20170916,30645
259,20170917,28336
260,20170918,33398
261,20170919,34280
262,20170920,34866
263,20170921,35001
264,20170922,35374
265,20170923,32106
266,20170924,30716
267,20170925,35817
268,20170926,36263
269,20170927,36419
270,20170928,36049
271,20170929,35355
272,20170930,34625
273,20171001,30280
274,20171002,35737
275,20171003,35900
276,20171004,29072
277,20171005,34702
278,20171006,34982
279,20171007,29560
280,20171008,28115
281,20171009,28876
282,20171010,30226
283,20171011,35287
284,20171012,34009
285,20171013,32265
286,20171014,28783
287,20171015,27360
288,20171016,33062
289,20171017,32730
290,20171018,32246
291,20171019,31277
292,20171020,30889
293,20171021,25858
294,20171022,24237
295,20171023,28665
296,20171024,29159
297,20171025,29244
298,20171026,29286
299,20171027,28805
300,20171028,25555
301,20171029,24209
302,20171030,28206
303,20171031,28541
304,20171101,29266
305,20171102,30135
306,20171103,29257
307,20171104,25602
308,20171105,24623
309,20171106,29620
310,20171107,30666
311,20171108,29840
312,20171109,30266
313,20171110,30592
314,20171111,26422
315,20171112,25166
316,20171113,29653
317,20171114,29969
318,20171115,29784
319,20171116,30463
320,20171117,30555
321,20171118,26189
322,20171119,24644
323,20171120,28771
324,20171121,29432
325,20171122,28955
326,20171123,28469
327,20171124,28326
328,20171125,25668
329,20171126,24769
330,20171127,28917
331,20171128,29698
332,20171129,29530
333,20171130,29186
334,20171201,28525
335,20171202,25628
336,20171203,24512
337,20171204,28274
338,20171205,28243
339,20171206,28455
340,20171207,28625
341,20171208,27863
342,20171209,25500
343,20171210,24230
344,20171211,27706
345,20171212,28558
346,20171213,28433
347,20171214,28558
348,20171215,28405
349,20171216,25515
350,20171217,24444
351,20171218,28210
352,20171219,28665
353,20171220,28082
354,20171221,28219
355,20171222,27748
356,20171223,25193
357,20171224,24260
358,20171225,27939
359,20171226,28461
360,20171227,28022
361,20171228,28229
362,20171229,27369
363,20171230,24718
364,20171231,23319
