,date,peak_load
354,20181221,28647
355,20181222,27178
356,20181223,24509
357,20181224,27928
358,20181225,28585
359,20181226,28463
360,20181227,27726
361,20181228,26844
362,20181229,24309
363,20181230,23326
364,20181231,23399
